geneSymbol,diseaseId,diseaseName
ABCD3,C4225390,"BILE ACID SYNTHESIS DEFECT, CONGENITAL, 5"
ACOX2,C4310624,"BILE ACID SYNTHESIS DEFECT, CONGENITAL, 6"
GPC1,C0005411,Biliary Atresia
HAMP,C0005411,Biliary Atresia
CFC1,C4274029,Biliary atresia with splenic malformation syndrome
CCK,C0242216,Biliary calculi
GNAS,C0242216,Biliary calculi
HMGCR,C0242216,Biliary calculi
ABCG8,C0242216,Biliary calculi
ALB,C0023892,Biliary cirrhosis
CXCR5,C0023892,Biliary cirrhosis
CD3D,C0023892,Biliary cirrhosis
CD80,C0023892,Biliary cirrhosis
ENTPD2,C0023892,Biliary cirrhosis
CDH5,C0023892,Biliary cirrhosis
ABCC2,C0023892,Biliary cirrhosis
MAPK14,C0023892,Biliary cirrhosis
HIF1A,C0023892,Biliary cirrhosis
ICAM3,C0023892,Biliary cirrhosis
IGFBP1,C0023892,Biliary cirrhosis
IL7R,C0023892,Biliary cirrhosis
IL12A,C0023892,Biliary cirrhosis
IL12B,C0023892,Biliary cirrhosis
CXCL10,C0023892,Biliary cirrhosis
KRT7,C0023892,Biliary cirrhosis
LOX,C0023892,Biliary cirrhosis
LOXL2,C0023892,Biliary cirrhosis
CXCL9,C0023892,Biliary cirrhosis
NFE2L2,C0023892,Biliary cirrhosis
NFKB1,C0023892,Biliary cirrhosis
NOS2,C0023892,Biliary cirrhosis
NOS3,C0023892,Biliary cirrhosis
ABCB4,C0023892,Biliary cirrhosis
RELA,C0023892,Biliary cirrhosis
CCL5,C0023892,Biliary cirrhosis
SLC4A2,C0023892,Biliary cirrhosis
SPIB,C0023892,Biliary cirrhosis
STAT4,C0023892,Biliary cirrhosis
TGFB1,C0023892,Biliary cirrhosis
TNFRSF1A,C0023892,Biliary cirrhosis
TYK2,C0023892,Biliary cirrhosis
ABCG2,C0023892,Biliary cirrhosis
KEAP1,C0023892,Biliary cirrhosis
NSA2,C0023892,Biliary cirrhosis
UBD,C0023892,Biliary cirrhosis
CLEC16A,C0023892,Biliary cirrhosis
MMEL1,C0023892,Biliary cirrhosis
CYGB,C0023892,Biliary cirrhosis
SLC51B,C0023892,Biliary cirrhosis
DENND1B,C0023892,Biliary cirrhosis
SLC51A,C0023892,Biliary cirrhosis
ALB,C4551595,"Biliary Cirrhosis, Primary, 1"
CXCR5,C4551595,"Biliary Cirrhosis, Primary, 1"
CD3D,C4551595,"Biliary Cirrhosis, Primary, 1"
CD80,C4551595,"Biliary Cirrhosis, Primary, 1"
ENTPD2,C4551595,"Biliary Cirrhosis, Primary, 1"
CDH5,C4551595,"Biliary Cirrhosis, Primary, 1"
ABCC2,C4551595,"Biliary Cirrhosis, Primary, 1"
MAPK14,C4551595,"Biliary Cirrhosis, Primary, 1"
HIF1A,C4551595,"Biliary Cirrhosis, Primary, 1"
ICAM3,C4551595,"Biliary Cirrhosis, Primary, 1"
IGFBP1,C4551595,"Biliary Cirrhosis, Primary, 1"
IL7R,C4551595,"Biliary Cirrhosis, Primary, 1"
IL12A,C4551595,"Biliary Cirrhosis, Primary, 1"
IL12B,C4551595,"Biliary Cirrhosis, Primary, 1"
CXCL10,C4551595,"Biliary Cirrhosis, Primary, 1"
KRT7,C4551595,"Biliary Cirrhosis, Primary, 1"
LOX,C4551595,"Biliary Cirrhosis, Primary, 1"
LOXL2,C4551595,"Biliary Cirrhosis, Primary, 1"
CXCL9,C4551595,"Biliary Cirrhosis, Primary, 1"
NFE2L2,C4551595,"Biliary Cirrhosis, Primary, 1"
NFKB1,C4551595,"Biliary Cirrhosis, Primary, 1"
NOS2,C4551595,"Biliary Cirrhosis, Primary, 1"
NOS3,C4551595,"Biliary Cirrhosis, Primary, 1"
ABCB4,C4551595,"Biliary Cirrhosis, Primary, 1"
RELA,C4551595,"Biliary Cirrhosis, Primary, 1"
CCL5,C4551595,"Biliary Cirrhosis, Primary, 1"
SLC4A2,C4551595,"Biliary Cirrhosis, Primary, 1"
SPIB,C4551595,"Biliary Cirrhosis, Primary, 1"
STAT4,C4551595,"Biliary Cirrhosis, Primary, 1"
TGFB1,C4551595,"Biliary Cirrhosis, Primary, 1"
TNFRSF1A,C4551595,"Biliary Cirrhosis, Primary, 1"
TYK2,C4551595,"Biliary Cirrhosis, Primary, 1"
ABCG2,C4551595,"Biliary Cirrhosis, Primary, 1"
KEAP1,C4551595,"Biliary Cirrhosis, Primary, 1"
NSA2,C4551595,"Biliary Cirrhosis, Primary, 1"
UBD,C4551595,"Biliary Cirrhosis, Primary, 1"
CLEC16A,C4551595,"Biliary Cirrhosis, Primary, 1"
MMEL1,C4551595,"Biliary Cirrhosis, Primary, 1"
CYGB,C4551595,"Biliary Cirrhosis, Primary, 1"
SLC51B,C4551595,"Biliary Cirrhosis, Primary, 1"
DENND1B,C4551595,"Biliary Cirrhosis, Primary, 1"
SLC51A,C4551595,"Biliary Cirrhosis, Primary, 1"
F5,C0856761,Budd-Chiari Syndrome
JAK2,C0856761,Budd-Chiari Syndrome
COL1A1,C0008311,Cholangitis
EGR1,C0008311,Cholangitis
ITGB6,C0008311,Cholangitis
KRT19,C0008311,Cholangitis
ABCB4,C0008311,Cholangitis
TGFB2,C0008311,Cholangitis
TIMP1,C0008311,Cholangitis
HIF1A,C0008313,"Cholangitis, Sclerosing"
MST1,C0008313,"Cholangitis, Sclerosing"
NOS2,C0008313,"Cholangitis, Sclerosing"
ABCB4,C0008313,"Cholangitis, Sclerosing"
BCL2L11,C0008313,"Cholangitis, Sclerosing"
UBASH3A,C0008313,"Cholangitis, Sclerosing"
MYO5B,C4551898,"Cholestasis, progressive familial intrahepatic 1"
ATP8B1,C4551898,"Cholestasis, progressive familial intrahepatic 1"
ABCB4,C4551898,"Cholestasis, progressive familial intrahepatic 1"
ABCB11,C4551898,"Cholestasis, progressive familial intrahepatic 1"
ABCB4,C1865643,"Cholestasis, progressive familial intrahepatic 3"
TJP2,C2931067,"Cholestasis, progressive familial intrahepatic 4"
HSD3B7,C2931067,"Cholestasis, progressive familial intrahepatic 4"
ABCB11,C3489789,"Cholestasis, Progressive Familial Intrahepatic, 2"
NR1H4,C4310747,"CHOLESTASIS, PROGRESSIVE FAMILIAL INTRAHEPATIC, 5"
ADCY5,C1623038,Cirrhosis
ADRA2A,C1623038,Cirrhosis
ADRA2C,C1623038,Cirrhosis
ADRB2,C1623038,Cirrhosis
AGT,C1623038,Cirrhosis
AKT1,C1623038,Cirrhosis
ALB,C1623038,Cirrhosis
ANGPT1,C1623038,Cirrhosis
ATM,C1623038,Cirrhosis
CCND2,C1623038,Cirrhosis
CHRNA1,C1623038,Cirrhosis
COL1A1,C1623038,Cirrhosis
COL1A2,C1623038,Cirrhosis
COL3A1,C1623038,Cirrhosis
CSF3,C1623038,Cirrhosis
CTNNB1,C1623038,Cirrhosis
CYP19A1,C1623038,Cirrhosis
DCN,C1623038,Cirrhosis
FECH,C1623038,Cirrhosis
GPX4,C1623038,Cirrhosis
HMOX1,C1623038,Cirrhosis
IL1B,C1623038,Cirrhosis
IL1RN,C1623038,Cirrhosis
IL4,C1623038,Cirrhosis
KLK1,C1623038,Cirrhosis
LEPR,C1623038,Cirrhosis
LGALS3,C1623038,Cirrhosis
NPR1,C1623038,Cirrhosis
PDGFB,C1623038,Cirrhosis
PIK3CG,C1623038,Cirrhosis
MAP2K7,C1623038,Cirrhosis
PTGS2,C1623038,Cirrhosis
REN,C1623038,Cirrhosis
SFRP1,C1623038,Cirrhosis
SOD2,C1623038,Cirrhosis
STAT3,C1623038,Cirrhosis
TAC1,C1623038,Cirrhosis
TGFB1,C1623038,Cirrhosis
THBS1,C1623038,Cirrhosis
TLR4,C1623038,Cirrhosis
TNF,C1623038,Cirrhosis
SPHK1,C1623038,Cirrhosis
ATP6AP2,C1623038,Cirrhosis
SLC27A2,C1623038,Cirrhosis
SIRT1,C1623038,Cirrhosis
THG1L,C1623038,Cirrhosis
PDGFD,C1623038,Cirrhosis
MIR133A1,C1623038,Cirrhosis
MIR21,C1623038,Cirrhosis
MIR217,C1623038,Cirrhosis
KRT8,C1861556,"Cirrhosis, Familial"
KRT18,C1861556,"Cirrhosis, Familial"
ASS1,C0175683,Citrullinemia
ASS1,C4721769,Citrullinemia Type 1
SLC25A13,C1853942,"CITRULLINEMIA, TYPE II, NEONATAL-ONSET"
UGT1A1,C0010324,"Crigler Najjar syndrome, type 1"
UGT1A1,C2931132,"Crigler Najjar syndrome, type 2"
ALG8,C4551631,Cystic liver disease
ALG9,C4551631,Cystic liver disease
TTR,C0268384,"Familial Amyloid Neuropathy, Portuguese Type"
TTR,C1527337,"Familial Amyloid Polyneuropathy, Appalachian Type"
TTR,C0268385,"Familial Amyloid Polyneuropathy, Jewish Type"
GSN,C0936273,"Familial Amyloid Polyneuropathy, Type IV"
TTR,C0936273,"Familial Amyloid Polyneuropathy, Type IV"
TTR,C0155127,"Familial Amyloid Polyneuropathy, Type V"
TTR,C0268383,"Familial amyloid polyneuropathy, type VI"
LDLRAP1,C0342881,Familial hypercholesterolemia - homozygous
ABCG5,C0342881,Familial hypercholesterolemia - homozygous
ABCG8,C0342881,Familial hypercholesterolemia - homozygous
ATP8B1,C3489728,Familial intrahepatic cholestasis of pregnancy
ABCB4,C3489728,Familial intrahepatic cholestasis of pregnancy
TNF,C3489728,Familial intrahepatic cholestasis of pregnancy
VCAM1,C3489728,Familial intrahepatic cholestasis of pregnancy
PLIN2,C0015695,Fatty Liver
BIRC3,C0015695,Fatty Liver
APOB,C0015695,Fatty Liver
STS,C0015695,Fatty Liver
ATF4,C0015695,Fatty Liver
ATP7B,C0015695,Fatty Liver
CAT,C0015695,Fatty Liver
SERPINA6,C0015695,Fatty Liver
CEBPB,C0015695,Fatty Liver
COL3A1,C0015695,Fatty Liver
CYP1B1,C0015695,Fatty Liver
CYP2E1,C0015695,Fatty Liver
CYP19A1,C0015695,Fatty Liver
DDIT3,C0015695,Fatty Liver
F2,C0015695,Fatty Liver
F2R,C0015695,Fatty Liver
GPT,C0015695,Fatty Liver
GPX1,C0015695,Fatty Liver
GPX4,C0015695,Fatty Liver
HADHB,C0015695,Fatty Liver
HAS3,C0015695,Fatty Liver
HHEX,C0015695,Fatty Liver
FOXA1,C0015695,Fatty Liver
IFNA2,C0015695,Fatty Liver
CXCL8,C0015695,Fatty Liver
INS,C0015695,Fatty Liver
LDLR,C0015695,Fatty Liver
LEP,C0015695,Fatty Liver
LEPR,C0015695,Fatty Liver
MAT1A,C0015695,Fatty Liver
MTTP,C0015695,Fatty Liver
MYC,C0015695,Fatty Liver
NFE2L2,C0015695,Fatty Liver
SERPINE1,C0015695,Fatty Liver
POMC,C0015695,Fatty Liver
PON1,C0015695,Fatty Liver
PPARA,C0015695,Fatty Liver
PPARD,C0015695,Fatty Liver
PSMA5,C0015695,Fatty Liver
PTEN,C0015695,Fatty Liver
PTMA,C0015695,Fatty Liver
CCL2,C0015695,Fatty Liver
SLC2A2,C0015695,Fatty Liver
SOD1,C0015695,Fatty Liver
SOD2,C0015695,Fatty Liver
SREBF1,C0015695,Fatty Liver
TF,C0015695,Fatty Liver
TLR4,C0015695,Fatty Liver
TNF,C0015695,Fatty Liver
UCP2,C0015695,Fatty Liver
XBP1,C0015695,Fatty Liver
NR0B2,C0015695,Fatty Liver
NR1I2,C0015695,Fatty Liver
NREP,C0015695,Fatty Liver
SLC22A8,C0015695,Fatty Liver
CYP7B1,C0015695,Fatty Liver
NR1D1,C0015695,Fatty Liver
NR1H4,C0015695,Fatty Liver
NR1H3,C0015695,Fatty Liver
RIPK3,C0015695,Fatty Liver
GPD1L,C0015695,Fatty Liver
SIRT1,C0015695,Fatty Liver
FGF21,C0015695,Fatty Liver
ANGPTL4,C0015695,Fatty Liver
SIRT7,C0015695,Fatty Liver
DHRS7,C0015695,Fatty Liver
CYCS,C0015695,Fatty Liver
CNDP2,C0015695,Fatty Liver
NEIL1,C0015695,Fatty Liver
PNPLA3,C0015695,Fatty Liver
SLC13A5,C0015695,Fatty Liver
MIR10B,C0015695,Fatty Liver
MIR134,C0015695,Fatty Liver
MIR139,C0015695,Fatty Liver
MIR150,C0015695,Fatty Liver
MIR154,C0015695,Fatty Liver
MIR17,C0015695,Fatty Liver
MIR183,C0015695,Fatty Liver
MIR197,C0015695,Fatty Liver
MIR219A1,C0015695,Fatty Liver
MIR320A,C0015695,Fatty Liver
MIR34A,C0015695,Fatty Liver
MIR148B,C0015695,Fatty Liver
MIR384,C0015695,Fatty Liver
MIR410,C0015695,Fatty Liver
MIR503,C0015695,Fatty Liver
MIR542,C0015695,Fatty Liver
MIR449C,C0015695,Fatty Liver
PNPLA3,C2750440,"FATTY LIVER DISEASE, NONALCOHOLIC, SUSCEPTIBILITY TO, 1"
CYP2E1,C0015696,"Fatty Liver, Alcoholic"
PPARA,C0015696,"Fatty Liver, Alcoholic"
SOD1,C0015696,"Fatty Liver, Alcoholic"
A2M,C0239946,"Fibrosis, Liver"
ACTA2,C0239946,"Fibrosis, Liver"
ADRA1A,C0239946,"Fibrosis, Liver"
AGT,C0239946,"Fibrosis, Liver"
AHR,C0239946,"Fibrosis, Liver"
ALAD,C0239946,"Fibrosis, Liver"
ALB,C0239946,"Fibrosis, Liver"
ARNT,C0239946,"Fibrosis, Liver"
ARRB1,C0239946,"Fibrosis, Liver"
ATP7B,C0239946,"Fibrosis, Liver"
SERPING1,C0239946,"Fibrosis, Liver"
C1QB,C0239946,"Fibrosis, Liver"
SERPINA6,C0239946,"Fibrosis, Liver"
SERPINH1,C0239946,"Fibrosis, Liver"
CD9,C0239946,"Fibrosis, Liver"
CD14,C0239946,"Fibrosis, Liver"
CHRM3,C0239946,"Fibrosis, Liver"
CNR1,C0239946,"Fibrosis, Liver"
CNR2,C0239946,"Fibrosis, Liver"
COL1A1,C0239946,"Fibrosis, Liver"
COL1A2,C0239946,"Fibrosis, Liver"
COL3A1,C0239946,"Fibrosis, Liver"
COL5A2,C0239946,"Fibrosis, Liver"
CP,C0239946,"Fibrosis, Liver"
CCN2,C0239946,"Fibrosis, Liver"
CTNNB1,C0239946,"Fibrosis, Liver"
CYBA,C0239946,"Fibrosis, Liver"
CYP1A2,C0239946,"Fibrosis, Liver"
CYP27A1,C0239946,"Fibrosis, Liver"
DHCR7,C0239946,"Fibrosis, Liver"
DNASE2,C0239946,"Fibrosis, Liver"
F2,C0239946,"Fibrosis, Liver"
F2R,C0239946,"Fibrosis, Liver"
F3,C0239946,"Fibrosis, Liver"
F5,C0239946,"Fibrosis, Liver"
FBN1,C0239946,"Fibrosis, Liver"
FGF2,C0239946,"Fibrosis, Liver"
FGF7,C0239946,"Fibrosis, Liver"
FGFR2,C0239946,"Fibrosis, Liver"
FLT1,C0239946,"Fibrosis, Liver"
GC,C0239946,"Fibrosis, Liver"
HDAC2,C0239946,"Fibrosis, Liver"
HGF,C0239946,"Fibrosis, Liver"
HSD11B2,C0239946,"Fibrosis, Liver"
IFNA1,C0239946,"Fibrosis, Liver"
IGFBP1,C0239946,"Fibrosis, Liver"
IGFBP2,C0239946,"Fibrosis, Liver"
IL6,C0239946,"Fibrosis, Liver"
JUND,C0239946,"Fibrosis, Liver"
KRT8,C0239946,"Fibrosis, Liver"
KRT18,C0239946,"Fibrosis, Liver"
LAMC2,C0239946,"Fibrosis, Liver"
LGALS1,C0239946,"Fibrosis, Liver"
LGALS3BP,C0239946,"Fibrosis, Liver"
LOX,C0239946,"Fibrosis, Liver"
LOXL1,C0239946,"Fibrosis, Liver"
LUM,C0239946,"Fibrosis, Liver"
SMAD3,C0239946,"Fibrosis, Liver"
MMP2,C0239946,"Fibrosis, Liver"
NFE2L2,C0239946,"Fibrosis, Liver"
NPC1,C0239946,"Fibrosis, Liver"
NPPA,C0239946,"Fibrosis, Liver"
PCOLCE,C0239946,"Fibrosis, Liver"
ABCB4,C0239946,"Fibrosis, Liver"
SERPINA1,C0239946,"Fibrosis, Liver"
PLAU,C0239946,"Fibrosis, Liver"
PLOD2,C0239946,"Fibrosis, Liver"
PTEN,C0239946,"Fibrosis, Liver"
REN,C0239946,"Fibrosis, Liver"
CCL2,C0239946,"Fibrosis, Liver"
SPARC,C0239946,"Fibrosis, Liver"
SPP1,C0239946,"Fibrosis, Liver"
STAT1,C0239946,"Fibrosis, Liver"
TGFB1,C0239946,"Fibrosis, Liver"
TGFBR1,C0239946,"Fibrosis, Liver"
THBS1,C0239946,"Fibrosis, Liver"
TNFRSF1B,C0239946,"Fibrosis, Liver"
VEGFA,C0239946,"Fibrosis, Liver"
VIM,C0239946,"Fibrosis, Liver"
VTN,C0239946,"Fibrosis, Liver"
TAGLN2,C0239946,"Fibrosis, Liver"
RGN,C0239946,"Fibrosis, Liver"
SLC22A8,C0239946,"Fibrosis, Liver"
SLC17A2,C0239946,"Fibrosis, Liver"
PEMT,C0239946,"Fibrosis, Liver"
BAMBI,C0239946,"Fibrosis, Liver"
SLC13A4,C0239946,"Fibrosis, Liver"
TRPM7,C0239946,"Fibrosis, Liver"
SLC30A10,C0239946,"Fibrosis, Liver"
UNC93B1,C0239946,"Fibrosis, Liver"
TMEM67,C0239946,"Fibrosis, Liver"
CYP2R1,C0239946,"Fibrosis, Liver"
COMMD1,C0239946,"Fibrosis, Liver"
GLIS3,C0239946,"Fibrosis, Liver"
ANKS6,C0239946,"Fibrosis, Liver"
MIR215,C0239946,"Fibrosis, Liver"
MIR29C,C0239946,"Fibrosis, Liver"
MIR30B,C0239946,"Fibrosis, Liver"
MIR30C2,C0239946,"Fibrosis, Liver"
MIR302C,C0239946,"Fibrosis, Liver"
MIR376C,C0239946,"Fibrosis, Liver"
MIR503,C0239946,"Fibrosis, Liver"
MIR942,C0239946,"Fibrosis, Liver"
MIR885,C0239946,"Fibrosis, Liver"
MIR764,C0239946,"Fibrosis, Liver"
AGL,C0017919,Glycogen Storage Disease
ALDOA,C0017919,Glycogen Storage Disease
ENO3,C0017919,Glycogen Storage Disease
FBP1,C0017919,Glycogen Storage Disease
G6PC,C0017919,Glycogen Storage Disease
SLC37A4,C0017919,Glycogen Storage Disease
GAA,C0017919,Glycogen Storage Disease
GBE1,C0017919,Glycogen Storage Disease
GYG1,C0017919,Glycogen Storage Disease
GYS1,C0017919,Glycogen Storage Disease
GYS2,C0017919,Glycogen Storage Disease
LAMP2,C0017919,Glycogen Storage Disease
LDHA,C0017919,Glycogen Storage Disease
PFKL,C0017919,Glycogen Storage Disease
PFKM,C0017919,Glycogen Storage Disease
PGAM2,C0017919,Glycogen Storage Disease
PGK1,C0017919,Glycogen Storage Disease
PGM1,C0017919,Glycogen Storage Disease
PHKA2,C0017919,Glycogen Storage Disease
PHKB,C0017919,Glycogen Storage Disease
PHKG2,C0017919,Glycogen Storage Disease
PYGL,C0017919,Glycogen Storage Disease
PYGM,C0017919,Glycogen Storage Disease
EPM2A,C0017919,Glycogen Storage Disease
FBP2,C0017919,Glycogen Storage Disease
GYG2,C0017919,Glycogen Storage Disease
NHLRC1,C0017919,Glycogen Storage Disease
GYS2,C1855861,"Glycogen Storage Disease 0, Liver"
GYS1,C1969054,"Glycogen Storage Disease 0, Muscle"
GAA,C3888924,"Glycogen storage disease due to acid maltase deficiency, infantile onset"
SLC37A4,C0342749,GLYCOGEN STORAGE DISEASE Ic
GAA,C1968741,Glycogen Storage Disease IIIC
PHKA2,C3694531,GLYCOGEN STORAGE DISEASE IXa1
PHKB,C0543514,Glycogen Storage Disease IXB
PHKA2,C2751643,Glycogen Storage Disease IXC
PHKG2,C2751643,Glycogen Storage Disease IXC
PRKAG2,C1849813,"Glycogen Storage Disease of Heart, Lethal Congenital"
G6PC,C0017920,Glycogen Storage Disease Type I
SLC37A4,C0017920,Glycogen Storage Disease Type I
G6PC,C2919796,Glycogen storage disease type Ia
GAA,C0017921,Glycogen storage disease type II
TNNT2,C0017921,Glycogen storage disease type II
GAA,C0751173,"Glycogen Storage Disease Type II, Infantile"
TNNT2,C0751173,"Glycogen Storage Disease Type II, Infantile"
GAA,C0751174,"Glycogen Storage Disease Type II, Juvenile"
TNNT2,C0751174,"Glycogen Storage Disease Type II, Juvenile"
LAMP2,C0878677,Glycogen Storage Disease Type IIb
AGL,C0017922,Glycogen Storage Disease Type III
GBE1,C0017922,Glycogen Storage Disease Type III
GBE1,C0017923,Glycogen Storage Disease Type IV
ACE,C0017924,Glycogen Storage Disease Type V
PYGM,C0017924,Glycogen Storage Disease Type V
PYGL,C0017925,Glycogen Storage Disease Type VI
PFKM,C0017926,Glycogen Storage Disease Type VII
PGAM2,C0268149,Glycogen storage disease type X
ALDOA,C0272066,Glycogen Storage Disease XII
ENO3,C2752027,Glycogen Storage Disease XIII
PGM1,C2752015,Glycogen Storage Disease XIV
GYG1,C3150754,GLYCOGEN STORAGE DISEASE XV
PHKA1,C1845151,"Glycogen Storage Disease, Type IXD"
PHKG1,C1845151,"Glycogen Storage Disease, Type IXD"
BMP2,C0018995,Hemochromatosis
BMP6,C0018995,Hemochromatosis
CP,C0018995,Hemochromatosis
HFE,C0018995,Hemochromatosis
HP,C0018995,Hemochromatosis
SLC11A2,C0018995,Hemochromatosis
AKR1D1,C0018995,Hemochromatosis
TFR2,C0018995,Hemochromatosis
TNF,C0018995,Hemochromatosis
SLC40A1,C0018995,Hemochromatosis
HAMP,C0018995,Hemochromatosis
HJV,C0018995,Hemochromatosis
BMP2,C3469186,"HEMOCHROMATOSIS, TYPE 1"
HFE,C3469186,"HEMOCHROMATOSIS, TYPE 1"
HJV,C3469186,"HEMOCHROMATOSIS, TYPE 1"
HJV,C1865614,"HEMOCHROMATOSIS, TYPE 2A"
HAMP,C1865616,"HEMOCHROMATOSIS, TYPE 2B"
TFR2,C1858664,"HEMOCHROMATOSIS, TYPE 3"
SLC40A1,C1853733,"HEMOCHROMATOSIS, TYPE 4"
CFH,C2749604,"HEMOLYTIC UREMIC SYNDROME, ATYPICAL, SUSCEPTIBILITY TO, 1"
CFHR1,C2749604,"HEMOLYTIC UREMIC SYNDROME, ATYPICAL, SUSCEPTIBILITY TO, 1"
CFHR3,C2749604,"HEMOLYTIC UREMIC SYNDROME, ATYPICAL, SUSCEPTIBILITY TO, 1"
CD46,C2752040,"HEMOLYTIC UREMIC SYNDROME, ATYPICAL, SUSCEPTIBILITY TO, 2"
CFI,C2752039,"HEMOLYTIC UREMIC SYNDROME, ATYPICAL, SUSCEPTIBILITY TO, 3"
CFB,C2752038,"HEMOLYTIC UREMIC SYNDROME, ATYPICAL, SUSCEPTIBILITY TO, 4"
C3,C2752037,"HEMOLYTIC UREMIC SYNDROME, ATYPICAL, SUSCEPTIBILITY TO, 5"
THBD,C2752036,"HEMOLYTIC UREMIC SYNDROME, ATYPICAL, SUSCEPTIBILITY TO, 6"
ALB,C0019061,Hemolytic-Uremic Syndrome
CFB,C0019061,Hemolytic-Uremic Syndrome
C3,C0019061,Hemolytic-Uremic Syndrome
NQO1,C0019061,Hemolytic-Uremic Syndrome
EPO,C0019061,Hemolytic-Uremic Syndrome
IL1A,C0019061,Hemolytic-Uremic Syndrome
IL1B,C0019061,Hemolytic-Uremic Syndrome
IL6,C0019061,Hemolytic-Uremic Syndrome
CD46,C0019061,Hemolytic-Uremic Syndrome
TNF,C0019061,Hemolytic-Uremic Syndrome
DGKE,C0019061,Hemolytic-Uremic Syndrome
TSPO,C0019151,Hepatic Encephalopathy
GABRA1,C0019151,Hepatic Encephalopathy
GABRB1,C0019151,Hepatic Encephalopathy
GABRG2,C0019151,Hepatic Encephalopathy
GC,C0019151,Hepatic Encephalopathy
GLUL,C0019151,Hepatic Encephalopathy
LTA,C0019151,Hepatic Encephalopathy
MAOA,C0019151,Hepatic Encephalopathy
MAOB,C0019151,Hepatic Encephalopathy
NOS1,C0019151,Hepatic Encephalopathy
OPRM1,C0019151,Hepatic Encephalopathy
PRKDC,C0019151,Hepatic Encephalopathy
TNF,C0019151,Hepatic Encephalopathy
CC2D2A,C0009714,"Hepatic Fibrosis, Congenital"
TMEM67,C0009714,"Hepatic Fibrosis, Congenital"
IFNL3,C0009714,"Hepatic Fibrosis, Congenital"
A2M,C1527352,Hepatic Form of Wilson Disease
AHCY,C1527352,Hepatic Form of Wilson Disease
ANXA5,C1527352,Hepatic Form of Wilson Disease
APOE,C1527352,Hepatic Form of Wilson Disease
ASMT,C1527352,Hepatic Form of Wilson Disease
ATP7B,C1527352,Hepatic Form of Wilson Disease
BHMT,C1527352,Hepatic Form of Wilson Disease
CAMK2A,C1527352,Hepatic Form of Wilson Disease
CP,C1527352,Hepatic Form of Wilson Disease
IL6,C1527352,Hepatic Form of Wilson Disease
CXCL8,C1527352,Hepatic Form of Wilson Disease
IL10,C1527352,Hepatic Form of Wilson Disease
LOX,C1527352,Hepatic Form of Wilson Disease
LOXL2,C1527352,Hepatic Form of Wilson Disease
NDUFB7,C1527352,Hepatic Form of Wilson Disease
PPP3CA,C1527352,Hepatic Form of Wilson Disease
PPP3CB,C1527352,Hepatic Form of Wilson Disease
PRNP,C1527352,Hepatic Form of Wilson Disease
SNCA,C1527352,Hepatic Form of Wilson Disease
TIMP1,C1527352,Hepatic Form of Wilson Disease
TNF,C1527352,Hepatic Form of Wilson Disease
SDHAF2,C1527352,Hepatic Form of Wilson Disease
ANKS1B,C1527352,Hepatic Form of Wilson Disease
HAMP,C1527352,Hepatic Form of Wilson Disease
ALB,C1306571,Hepatic Insufficiency
MAPK14,C1306571,Hepatic Insufficiency
